time,MINA,SNX,CELO,GAS,GMT,POLYX,PEOPLE,REQ,YGG,ILV,BNT
2024-02-15,0.0026596262,0.0003027406,,0.0017041731,,,,,,,
2024-02-16,0.0017112340999999999,0.0005487923,,0.0016258676,,,,,,,
2024-02-17,0.0018336441,0.0020179796000000002,,0.0017055117,,,,,,,
2024-02-18,0.0032330715,0.0017581349,,0.0021775363,,,,,,,
2024-02-19,0.0033784703,0.0019981502000000003,,0.0022512121,,,,,,,
2024-02-20,0.0015544808,0.0011482077,,0.0017480254,,,,,,,
2024-02-21,0.0007765797,0.0004033765,,0.0007418325,,,,,,,
2024-02-22,0.0013217415,0.0003314217,,0.001033739,,,,,,,
2024-02-23,0.0019606642,0.0007313855,,0.0011962649,,,,,,,
2024-02-24,0.0010857611,0.0007357464,,0.0003507277,,,,,,,
2024-02-25,0.0028504423,0.0009074943,,0.0010854417,,,,,,,
2024-02-26,0.0021152189,0.0008558855,,0.0013104898,,,,,,,
2024-02-27,0.0023635383,0.0017560024,,0.0014938284000000001,,,,,,,
2024-02-28,0.0030489405,0.0014948603,,0.0012506842,,,,,,,
2024-02-29,0.0034971941,0.0020589859,,0.0015542112999999999,,,,,,,
2024-03-01,0.0033396142,0.0014677522,,0.0011400285,,,,,,,
2024-03-02,0.004726694,0.0025047598,,0.0015153055,,,,,,,
2024-03-03,0.0034649703,0.0027680928,,0.0015566464,,,,,,,
2024-03-04,0.0028895956,0.0016440622,,0.0009542435,,,,,,,
2024-03-05,0.0042914303,0.0019123501,,0.0015884138,,,,,,,
2024-03-06,0.00148296,0.0008248713,,0.0003834871,,,,,,,
2024-03-07,0.0025790278,0.0012672687,,0.0005989623000000001,,,,,,,
2024-03-08,0.003806959,0.0030383358,,0.0011191843,,,,,,,
2024-03-09,0.0041614953,0.0039535497,,0.0013957012,,,,,,,
2024-03-10,0.0053856777,0.0026447934,,0.0010423989,,,,,,,
2024-03-11,0.0046750055,0.001982874,,0.0008696807,,,,,,,
2024-03-12,0.0024117327,0.0038096,,0.0009015588000000001,,,,,,,
2024-03-13,0.0023145875,0.0054743887,,0.0007418496,,,,,,,
2024-03-14,0.00346654,0.0046761239,,0.0007675604000000001,,,,,,,
2024-03-15,0.0009928157,0.0021533977,,0.0004121075,,,,,,,
2024-03-16,0.00030000000000000003,0.0017718173,,0.000342103,,,,,,,
2024-03-17,0.00030000000000000003,0.0021391513,,0.0003201073,,,,,,,
2024-03-18,0.0003198872,0.0018256648,,0.0001375,,,,,,,
2024-03-19,0.00035321070000000004,0.0006049363,,,,,,,,,
2024-03-20,0.0004032296,0.0004014367,,,,,,,,,
2024-03-21,0.000362688,0.0011752238,,,,,,,,,
2024-03-22,0.0003746878,0.0029681271,,,,,,,,,
2024-03-23,0.000358502,0.0030053938,,,,,,,,,
2024-03-24,0.00033236100000000004,0.0028159743,,,,,,,,,
2024-03-25,0.0005811893000000001,0.0017729493000000001,,,,,,,,,
2024-03-26,0.0017208053999999999,0.0031985168,,,,,,,,,
2024-03-27,0.0016883365,0.0026137237,,,,,,,,,
2024-03-28,0.0019483134,0.0020753312,,,,,,,,,
2024-03-29,0.0019097235,0.0020358852,,,,,,,,,
2024-03-30,0.0024819864,0.0017978422,,,,,,,,,
2024-03-31,0.0025223519,0.0024026629,,,,,,,,,
2024-04-01,0.0018600621,0.0025445748,,,,,,,,,
2024-04-02,0.0007408191,0.0010117066,,,,,,,,,
2024-04-03,0.0005263775,0.0010341622,,,,,,,,,
2024-04-04,0.0003954769,0.0006698791,,,,,,,,,
2024-04-05,0.0007794903,0.0005481467,,,,,,,,,
2024-04-06,0.0007894299,0.001435791,,,,,,,,,
2024-04-07,0.0004793906,0.0011339888,,,,,,,,,
2024-04-08,0.00069581,0.0013989466,,,,,,,,,
2024-04-09,0.0010391068,0.0009128436,,,,,,,,,
2024-04-10,0.0005923859,0.0003594688,,,,,,,,,
2024-04-11,0.0006353703,0.0004254922,,,,,,,,,
2024-04-12,0.0006188118,3.2039000000000016e-05,,,,,,,,,
2024-04-13,0.0002908262,-0.00013247739999999999,,,,,,,,,
2024-04-14,0.0002699703,0.0001299335,,,,,,,,,
2024-04-15,0.000296174,2.7023300000000006e-05,,,,,,,,,
2024-04-16,0.0002762055,0.00020557920000000002,,,,,,,,,
